user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data,id
25 to 34,1972,2017-12-22,male,712,15.8,382,Headquarters Business Park,54 kg and under,Night Ride,13.6,34.9,19.24,5103,5103,0,6977
25 to 34,239,2015-04-13,male,189,33.2,216,Oghor 2 SailsIsland,105 kg to 114 kg,Night Ride,21.5,43.2,23.47,3926,3926,0,3518
25 to 34,405,2018-02-07,male,264,23.7,593,Starbucks to Majid,75 to 84 kg,Evening Ride,26.7,92.9,38.23,5152,5152,0,415
25 to 34,318,2018-08-24,male,50,33.4,817,Al Fardoos to shellfish round about,75 to 84 kg,Afternoon Ride,31.4,54.4,65.77,7548,7548,1,1755
25 to 34,628,2020-03-06,female,19,21.3,284,Headquarters Business Park,54 kg and under,ثاني تمرين ١٠٠كم,19.9,43.2,96.53,17493,17493,0,7088
19 and under,18,2019-10-30,male,18,34.4,505,North Corniche,65 to 74 kg,Evening Ride,25.4,45.0,52.48,7449,7449,0,4639
25 to 34,421,2017-04-10,male,280,23.2,606,Starbucks to Majid,115 kg and over,Evening Ride,21.1,32.4,23.43,4000,4000,0,432
35 to 44,691,2015-03-30,male,183,29.8,582,North Corniche,75 to 84 kg,تمرين من المنزل الى موقع التمرين والعودة ,23.0,59.0,71.05,11099,11099,0,5538
55 to 64,1037,2019-11-13,male,11,30.2,564,King Street side,85 to 95 kg,تمرين الأربعاء 2019/11/13,25.4,36.7,43.91,6234,6234,0,2609
35 to 44,1519,2017-12-01,male,72,35.6,487,North Corniche,54 kg and under,Morning Ride,28.7,41.4,15.66,1967,1967,0,5427
25 to 34,78,2016-12-31,male,150,34.5,208,Oghor 2 SailsIsland,75 to 84 kg,Lunch Ride,19.2,48.2,23.8,4470,4470,0,3429
45 to 54,1606,2017-06-15,male,148,16.3,440,Oghor 2 SailsIsland,54 kg and under,كورنيش الحمراء ,14.6,27.0,24.99,6166,6166,0,4562
19 and under,14,2019-07-10,male,5,37.3,854,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Night Ride,33.3,54.0,54.16,5856,5856,0,1108
35 to 44,1582,2019-04-27,male,496,5.7,1061,Headquarters Business Park,95 kg to 104 kg,Evening Ride,14.1,35.3,33.48,8559,8559,1,7622
45 to 54,1005,2018-09-28,male,31,27.8,217,Headquarters Business Park,65 to 74 kg,Morning Ride,22.7,36.4,24.85,3947,3947,0,7688
25 to 34,167,2014-05-05,male,200,31.3,554,North Corniche,85 to 95 kg,"5/5/14 Jeddah, Makkah Province, Saudi Arabia",27.9,41.4,41.49,5358,5358,1,4995
19 and under,25,2019-03-22,male,20,33.7,515,North Corniche,85 to 95 kg,Morning Ride,23.5,40.3,53.61,8206,8206,0,4641
25 to 34,1468,2018-02-17,male,417,22.9,757,North Corniche,105 kg to 114 kg,Morning Ride,19.6,29.2,21.67,3976,3976,0,5212
25 to 34,222,2019-10-23,male,76,33.2,512,King Street side,,Evening Ride,27.6,45.7,40.23,5253,5253,0,2057
25 to 34,1063,2019-12-13,male,53,31.4,1016,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Morning Ride,27.3,50.0,28.43,3747,3747,0,1195
45 to 54,1125,2019-01-25,male,36,27.4,220,Headquarters Business Park,65 to 74 kg,Morning Ride,20.6,33.5,22.21,3878,3878,1,7693
25 to 34,232,2017-08-19,male,20,43.7,164,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,28.5,53.3,45.17,5709,5709,0,3298
25 to 34,592,2019-01-23,male,453,11.4,1233,Starbucks to Majid,55 to 64 kg,Evening Ride,29.9,47.9,41.59,5001,5001,1,604
25 to 34,505,2016-04-13,male,537,19.7,307,Headquarters Business Park,105 kg to 114 kg,Evining trip,16.0,40.3,17.89,4017,4017,0,6802
